item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width,Living room,Bedroom,Office,Kitchen,Dining room,Entrance,Playroom,Nursery,Outdoor,space,size_cluster,size_category,rooms,cluster
30381183,KNARREVIK,Tables & desks,39.0,No old price,True,https://www.ikea.com/sa/en/p/knarrevik-bedside-table-black-30381183/,No,"        Bedside table,          37x28 cm",IKEA of Sweden,28.0,45.0,37.0,1,0,1,1,1,0,0,0,0,46620.0,1,medium,"Living room, Office, Kitchen, Dining room",3.0
30299485,KNOTTEN,Tables & desks,556.0,SR 695,True,https://www.ikea.com/sa/en/p/knotten-standing-desk-white-birch-30299485/,No,        Standing desk,K Hagberg/M Hagberg,48.0,105.0,62.0,1,0,1,1,1,0,0,0,0,312480.0,1,medium,"Living room, Office, Kitchen, Dining room",7.0
30347151,KOARP,Sofas & armchairs,280.0,No old price,True,https://www.ikea.com/sa/en/p/koarp-armchair-cover-orrsta-light-blue-30347151/,Yes,        Armchair cover,Ehlén Johansson,43.35659995476282,110.01345516375049,105.63300232801541,1,1,0,0,0,0,0,0,0,503849.28377582255,1,medium,"Living room, Bedroom",7.0
99221743,KOARP,Chairs,825.0,No old price,True,https://www.ikea.com/sa/en/p/koarp-armchair-orrsta-light-blue-black-s99221743/,Yes,        Armchair,Ehlén Johansson,78.0,75.0,83.0,1,0,1,1,1,0,0,0,0,485550.0,1,medium,"Living room, Office, Kitchen, Dining room",7.0
60409294,KOLBJÖRN,Bookcases & shelving units,225.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-in-outdoor-beige-60409294/,No,"        Shelving unit in/outdoor,          80x81 cm",IKEA of Sweden,35.0,81.0,80.0,1,0,1,0,0,0,0,0,0,226800.0,1,medium,"Living room, Office",7.0
30409295,KOLBJÖRN,Bookcases & shelving units,345.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-cabinet-in-outdoor-beige-30409295/,No,"        Cabinet in/outdoor,          80x81 cm",IKEA of Sweden,35.0,81.0,80.0,1,0,1,0,0,0,0,0,0,226800.0,1,medium,"Living room, Office",10.0
99291646,KOLBJÖRN,Bookcases & shelving units,450.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-in-outdoor-s99291646/,No,"        Shelving unit in/outdoor,          80x35x162 cm",IKEA of Sweden,35.0,162.0,80.0,1,0,1,0,0,0,0,0,0,453600.0,1,medium,"Living room, Office",10.0
89317557,KOLBJÖRN,Bookcases & shelving units,570.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-with-cabinet-green-s89317557/,No,"        Shelving unit with cabinet,          80x37x161 cm",IKEA of Sweden,37.0,161.0,80.0,1,0,1,0,0,0,0,0,0,476560.0,1,medium,"Living room, Office",6.0
20345633,KOLBJÖRN,Bookcases & shelving units,695.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-cabinet-in-outdoor-beige-20345633/,No,"        Cabinet in/outdoor,          90x161 cm",IKEA of Sweden,35.0,161.0,90.0,1,0,1,0,0,0,0,0,0,507150.0,1,medium,"Living room, Office",5.0
59291634,KOLBJÖRN,Bookcases & shelving units,1140.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-with-2-cabinets-beige-s59291634/,No,"        Shelving unit with 2 cabinets,          171x37 cm",IKEA of Sweden,37.0,161.0,171.0,1,0,1,0,0,0,0,0,0,1018647.0,0,small,"Living room, Office",7.0
9291622,KOLBJÖRN,Bookcases & shelving units,1145.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-with-cabinet-beige-s09291622/,No,"        Shelving unit with cabinet,          251x37x161 cm",IKEA of Sweden,37.0,161.0,251.0,1,0,1,0,0,0,0,0,0,1495207.0,0,small,"Living room, Office",7.0
19291650,KOLBJÖRN,Bookcases & shelving units,1265.0,No old price,True,https://www.ikea.com/sa/en/p/kolbjoern-shelving-unit-with-2-cabinets-beige-s19291650/,No,"        Shelving unit with 2 cabinets,          171x37x161 cm",IKEA of Sweden,37.0,161.0,171.0,1,0,1,0,0,0,0,0,0,1018647.0,0,small,"Living room, Office",7.0
44881100,KOLON,Chairs,150.0,No old price,True,https://www.ikea.com/sa/en/p/kolon-floor-protector-44881100/,No,"        Floor protector,          120x100 cm",IKEA of Sweden,56.278417345908125,99.76452684627893,120.0,1,0,1,1,1,0,0,0,0,673750.7613806329,1,medium,"Living room, Office, Kitchen, Dining room",7.0
79186774,KONGSFJORD,Beds,8356.0,"SR 8,540",True,https://www.ikea.com/sa/en/p/kongsfjord-divan-bed-hyllestad-medium-firm-tustna-dark-grey-s79186774/,Yes,"        Divan bed,          180x200 cm",Ola Wihlborg/Synnöve Mork/IKEA of Sweden,167.57722868288784,135.0,180.0,0,1,0,0,0,0,0,0,0,4072126.6569941747,2,large,Bedroom,7.0
89186778,KONGSFJORD,Beds,8551.0,"SR 8,735",True,https://www.ikea.com/sa/en/p/kongsfjord-divan-bed-hyllestad-firm-tustna-dark-grey-s89186778/,Yes,"        Divan bed,          180x200 cm",Ola Wihlborg/IKEA of Sweden/Synnöve Mork,170.73139010769063,135.0,180.0,0,1,0,0,0,0,0,0,0,4148772.7796168826,2,large,Bedroom,7.0
